Web,Interactive,Video
0.9996163,4.205464e-06,0.00016331126
1.0,2.9292933e-06,6.337019e-12
1.0,6.827726e-06,1.4035186e-10
0.02229601,4.6653884e-05,0.9821764
0.9999921,1.8780222e-06,2.942876e-06
0.96756124,0.0004486822,0.02239225
1.0,3.1241154e-06,1.2777061e-10
1.0,1.2475434e-05,6.186967e-11
0.99989265,1.2267836e-06,5.1332638e-05
0.99999845,8.968148e-05,3.5739353e-07
0.9470439,0.00042396475,0.040099084
1.1767293e-05,0.9999993,3.6667118e-06
0.00024814066,0.9401588,0.06290874
0.9999332,9.121954e-06,2.1425241e-05
1.0,1.0610962e-05,4.6212696e-09
1.0,2.776531e-05,7.388832e-11
1.0,4.3899836e-06,3.4362308e-11
0.9999997,3.0237231e-06,7.608645e-08
1.0,2.6803175e-06,1.8827124e-11
0.99999976,0.00013816236,1.8164352e-08
1.0,8.31688e-06,7.664055e-11
0.9999608,2.5682923e-06,6.828794e-05
3.290567e-05,0.99999285,2.8019707e-05
0.99987555,5.245839e-07,0.00017372824
0.99999106,1.3402366e-06,8.210545e-06
0.012815917,0.0008015439,0.9965412
1.0,8.195986e-06,8.4284707e-10
0.9999693,1.0520062e-06,1.5538875e-05
0.9998688,8.964711e-06,4.613756e-05
0.9999992,1.3247285e-05,2.0388116e-07
1.0,2.7558665e-06,2.2032039e-16
1.0,3.6577849e-06,4.632605e-11
0.9996197,1.8631836e-06,0.0001940166
0.9999933,2.9885705e-05,2.70684e-06
0.99981505,2.885659e-06,9.3119554e-05
0.0017666775,0.00016779284,0.9951566
1.0,6.437196e-06,3.5220187e-09
0.9999956,1.5494807e-06,4.90583e-06
0.00023182365,0.999872,0.0002434108
2.0117142e-05,0.9999975,1.1751806e-05
0.0022715838,1.3026818e-05,0.9998702
0.99986434,3.6496278e-06,7.137041e-05
1.0,4.5193474e-06,8.3991247e-16
1.0,1.3530905e-05,8.682651e-12
0.9999886,1.3382196e-07,1.6805448e-05
0.9998313,5.590999e-06,8.6752996e-05
0.9924331,0.0010460429,0.0034408122
0.99998623,2.5699485e-06,6.164188e-06
0.99999994,8.0414344e-07,2.082037e-08
0.9999991,0.0033608433,1.439922e-07
0.99999976,0.00012481345,2.2953966e-08
1.0,1.5994198e-06,5.630906e-17
0.95428085,0.0010940717,0.013128942
1.0,2.899994e-06,4.468883e-16
0.9998783,2.2950173e-06,5.585349e-05
1.0,1.4999079e-05,1.7877039e-16
1.0,9.83828e-07,4.0422618e-12
1.0,7.418634e-06,4.1908466e-16
0.0036755481,0.00012426765,0.99913895
1.0,4.161879e-06,1.3380959e-09
0.020524438,3.6494406e-05,0.98532015
0.99790895,1.2418733e-06,0.0012465905
1.0,4.436816e-06,4.8370894e-11
1.0,2.3678103e-05,5.0760546e-12
0.99988204,2.4117494e-06,6.332671e-05
0.99987584,4.802046e-06,6.57959e-05
0.99999374,6.0227177e-07,6.59626e-07
1.0,2.154229e-06,8.129726e-12
1.0,7.032894e-07,2.1608082e-09
1.0,7.069347e-07,4.597176e-11
1.0,0.00014081609,2.1699004e-11
1.0,2.653961e-06,1.1587777e-11
1.0,3.923502e-05,2.1689426e-09
8.369262e-05,0.9999798,3.993983e-05
0.9999672,5.7888155e-07,1.7088709e-05
1.0,1.3878083e-06,1.6639226e-12
0.000829828,0.9939965,0.0034739063
0.00023049464,0.91348636,0.25903684
9.997853e-06,0.99998933,4.4820626e-05
0.030068565,0.0057236487,0.9188634
0.9999949,2.4159115e-06,5.0186054e-06
1.0,1.3807005e-07,7.9623045e-15
1.0,2.2174487e-05,5.3250802e-12
1.0,0.000182675,7.0317384e-11
0.9999976,0.0010434347,6.694413e-07
1.0,3.922282e-05,1.4858843e-10
1.0,2.8325344e-06,1.9063068e-16
1.0,2.612885e-06,6.149032e-17
0.9999982,1.3848507e-06,1.5510951e-06
0.9999773,2.7482815e-06,2.6884356e-05
1.0,6.517362e-06,2.2036772e-10
0.99980366,1.3693553e-06,0.000103246944
1.0,6.6636367e-06,4.973856e-10
0.0028787507,0.00024777564,0.9988257
0.9999982,9.700508e-05,3.9393336e-07
0.99996305,1.4604526e-06,1.8188126e-05
0.0015548962,0.9956669,0.00049650524
1.0,1.0497059e-05,4.418006e-09
0.9999814,2.3014084e-06,1.9331232e-05
1.0,3.5576064e-05,4.1743315e-13
1.0,1.6469535e-06,5.575508e-12
0.999998,0.00043704707,6.121396e-07
1.0,4.1954418e-06,4.580933e-10
1.0,4.4029434e-06,2.2008177e-13
0.9999997,0.00050027174,2.2778725e-08
1.0,2.715362e-07,4.447509e-22
1.0,7.298284e-05,4.629458e-12
0.99993646,3.7042068e-06,2.132115e-05
0.9999997,8.068985e-05,1.3639807e-08
0.9999988,4.2835695e-06,3.557134e-07
1.0,2.738588e-06,8.1597774e-14
1.0,6.7675596e-06,1.5956331e-10
1.0,1.3378332e-05,2.6224238e-13
1.5919864e-05,0.99997824,0.00025275841
0.9999997,1.13784545e-05,8.079287e-08
